AR00A6H1187FB5402A,42.73383,-84.59334,TRAKWGL12903CB8529,The Meatmen
AR00MBZ1187B9B5DB1,29.95244,-90.05202,TRAFCPP128F426EC01,Memphis Minnie
AR01IP11187B9AF5D2,28.33268,-80.73486,TRAZNKG12903CDCF8A,Call To Preserve
AR01VU31187B997DA0,43.0026,-83.7826,TRAKZMB128F427B44F,Grand Funk
AR01W2D1187FB5912F,40.01574,-105.27924,TRASHYD128F93119EE,3OH!3
AR022JO1187B99587B,0.10974,113.9174,TRAHSJR12903CBF093,Ross
AR02YGA1187B9B8AC4,-34.60852,-58.37354,TRACFXL128F930B28B,Bersuit Vergarabat
AR035N21187FB3938E,34.23294,-102.4102,TRAHXMC128F4267B70,BT
AR03BDP1187FB5B324,34.05349,-118.24532,TRACYCJ128F9309246,Britney Spears
AR048JZ1187B9AEB85,30.33138,-81.6558,TRAUWFN128F1462E09,Yellowcard
AR04KTB1187B99B6B7,37.27188,-119.27023,TRBFUNY128C7196B7D,The Disposable Heroes Of Hiphoprisy
AR059HI1187B9A14D7,33.74831,-84.39111,TRAORLG12903CB578A,Roy Drusky
AR05IU31187B9B9A1A,42.84751,-2.67973,TRAOXSN128F4282FB5,Alex Ubago
AR05KQA1187B9963B3,34.05349,-118.24532,TRAXBKH128F9343764,D'Molls
AR05VW21187FB407B4,52.94922,-1.14392,TRACALZ12903CDCFBB,Fudge Tunnel
AR061J011A348F060F,23.62574,-101.95625,TRAKGWA128F9321155,Ximena Sarinana
AR06M3F1187FB38BED,34.51042,-89.94049,TRAQYUA128F428742F,Mississippi Fred McDowell
AR06USW1187FB4EACA,37.77916,-122.42005,TRAYYKO128F92E133B,The Lord Weird Slough Feg
AR08DYV1187B99A0D7,40.71455,-74.00712,TRBBEHB128E0784F71,Reach 454
AR08NXW1187B99526D,38.2589,-92.43659,TRAHDUP128F9332D64,Die Symphony
AR0B1CH1187FB3A824,34.56398,-92.58685,TRAFNMJ128F92D15D8,Charlie Rich
AR0B3RS1187FB48F5D,39.10644,-84.50469,TRAXAJF128F4216398,Why?
AR0B6VD1187B99C293,34.47326,-119.05505,TRAIKBM128F429160A,Uphill Battle
AR0CANF1187B9AF35F,34.05349,-118.24532,TRACHHH128E0788A35,Dilated Peoples
AR0G47L1187B98CC6D,50.91552,0.48883,TRAAVKY12903CBBB93,Frank Chacksfield
AR0IAWL1187B9A96D0,8.4177,-80.11278,TRABCEC128F426456E,Danilo Perez
AR0ILWV1187FB47CAA,39.75911,-84.19444,TRBIJES12903CF5B12,Mouth Of The Architect
AR0IVSA1187FB4F069,40.71455,-74.00712,TRAOJMY128E07836D9,Helmet
AR0JEOI1187B98B918,31.1689,-100.07715,TRAJBIZ128F4252408,Erik Berglund
AR0JURX1187FB3C8FF,41.39447,-73.61689,TRAPZYB128F9309217,Illya Kuryaki And The Valderramas
AR0KBXO1187B996460,41.58979,-93.61566,TRAHDNJ128F4241432,Slipknot
AR0LPDJ1187B9919F1,54.5958,-5.93494,TRAXXEI128F4293139,Derek Bell
AR0LVFQ1187B9A84E0,40.71455,-74.00712,TRAAQFC128F425ED83,Jason Miles
AR0N0DX1187FB41327,51.50632,-0.12714,TRACOTC128F1455F32,The Master Musicians of Jajouka featuring Bachir Attar
AR0N9BV1187FB3AD01,41.76332,-72.67407,TRARBIM12903CECEE0,Gene Pitney
AR0NKFJ1187B9AF1FF,51.77045,0.64255,TRAMKXD128F146697F,Neil Innes
AR0NQD81187FB3AD13,32.74863,-97.32925,TRACOGY128F92FE95C,Gary Morris
AR0O3AV1187FB4D030,40.71455,-74.00712,TRAXLLN128F428B982,Wayne Kramer
AR0OEYB1187FB4A81E,53.93063,-1.20788,TRAYQDZ128F9313C8F,Catherine Howe
AR0PUK71187B9AC3C0,40.71455,-74.00712,TRAPCRV128F931425C,Marvin Hamlisch
AR0QT3O1187FB56860,53.34376,-6.24953,TRAWEDG128F42A5F1C,Ronnie Drew
AR0RCMP1187FB3F427,30.08615,-94.10158,TRAMDCX128F4294590,Billie Jo Spears
AR0S0EO1187FB490BE,38.62774,-90.19951,TRBHQJJ128F931FAC1,Disco D
AR0SZW11187B98C5E5,40.71455,-74.00712,TRAPNSM128F9343E74,Beat Pharmacy
AR0TZ7T1187B994E37,42.33168,-83.04792,TRAHFAO12903CBCD36,Dave "Baby" Cortez
AR0U44O1187B99007C,51.50632,-0.12714,TRADERP128F42908E4,Republica;Jonny Male;Dave Arch
AR0V36F1187FB366B1,53.41961,-8.24055,TRAJZXZ128F4285158,The Chieftains;Colin James
AR0VIQV1187B9978F8,37.77916,-122.42005,TRAYJXD128F9307BE6,The Products
AR0VR1O1187B9A0F1F,59.27074,15.21751,TRBCBAM128F92E3044,Truckfighters
AR0VS771187B99564F,51.16418,10.45415,TRAOREV128F42640FF,Rocky Hill
AR0VZWC1187B99BA57,-37.81753,144.96715,TRAXOQD12903CDD59D,The Berzerker
AR0WAW61187B98B7D7,40.71455,-74.00712,TRAIJER128F9332661,Doug MacLeod
AR0WQ1Q1187B992E16,40.71455,-74.00712,TRBHZAC12903CF573E,Richard Smith
AR0WV4Y1187B99B806,7.95501,-1.03182,TRAEFDB128E0783952,Rhian Benson
AR0WXWU1187B9AB33F,42.31256,-71.08868,TRABVLV128EF354D20,The Red Telephone
AR0XJ291187FB45855,39.75911,-84.19444,TRALHPU128EF34A6C8,Drexel
AR0XSOO1187B9B9E88,51.50632,-0.12714,TRACBOR128F422CFE4,Buzzcocks
AR12MUW1187B9A5DF4,29.76045,-95.36978,TRAMHFW128F4254303,Ricardo Lemvo
AR13CXU1187B9AD30A,51.52328,-0.21346,TRAOCOE128F4276D18,The Clash
AR14CJ91187FB3A994,35.52069,-84.36354,TRABFGJ12903CF6A75,Eddy Arnold
AR1518Q1187B98A906,40.99471,-77.60454,TRBDJHF128EF35793D,Poptart Monkeys
AR15FQ11187FB36BE8,18.01571,-76.79731,TRARQFD128F422F447,Chaka Demus & Pliers
AR15YLD1187FB3D4DD,55.67631,12.56935,TRAJOUG128F4276434,John Tchicai
AR16NGV1187FB5B8BC,46.51959,6.63233,TRALDYY12903CC80AF,Kruger
AR180PG1187B997BAE,32.77815,-96.7954,TRACAPS128F92F014C,Donnie Brooks
AR190KO1187B9905EC,34.05349,-118.24532,TRAEOUE128F93187B9,Sick Puppies
